id,area,title,url,date
01,[陕西省本级],陕西省人才交流服务中心流动人员人事档案基础信息采集归集和数字化项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be337394d6bc0173ff702b680913,2020-08-18
02,[陕西省本级],陕西科技大学电智学院专业认证及沁园小区三期住宅楼车辆管理系统采购项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be337394d6bc0173ff7deadf0a5f,2020-08-18
03,[陕西省本级],陕西省城市经济学校残疾人培训示范基地改造项目数字信息技术教研室实训设备采购竞争性谈判公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be337394d6bc0173ff8df1ad0b80,2020-08-18
04,[陕西省本级],陕西能源职业技术学院临潼校区物业托管竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be327394d7390173fb65e11b109b,2020-08-18
05,[陕西省本级],陕西省城市经济学校陕西残疾人就业培训示范基地改造项目课桌凳购置（特教学生使用）竞争性谈判公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be337394d6bc0173ff8506750acd,2020-08-18
06,[陕西省本级],陕西省公路局咸阳路政执法支队机关办公楼室内装修工程竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173fbaca8187628,2020-08-18
07,[陕西省本级],陕西省公路局咸阳路政执法支队机关办公楼室外装修工程竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173fbb8eb717838,2020-08-18
08,[陕西省本级],陕西中医药大学第二附属医院干湿分离吊桥采购项目（二次）公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be327394d7390173fbc1dc281a7d,2020-08-17
09,[陕西省本级],陕西机电职业技术学院蟠龙校区维修改造项目（五）竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be337394d6bc0173fae0642d6288,2020-08-17
10,[陕西省本级],陕西省公安厅2020年等级保护测评项目竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be327394d7390173fb64197e105e,2020-08-17
11,[陕西省本级],第十四届全运会和全国第十一届残运会暨第八届特奥会网络与信息安全保障项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be347394d61e0173fbc2890c7ca6,2020-08-17
12,[陕西省本级],陕西工业职业技术学院服装虚拟仿真中心采购项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be347394d61e0173fbbeb8c67c3a,2020-08-17
13,[陕西省本级],陕西省公安厅交通警察总队2020-2021年度互联网交通安全综合服务管理平台运行项目竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be337394d6bc0173fa278b5e52cc,2020-08-17
14,[陕西省本级],陕西省公路局公路基础数据库更新及公路养护统计年报管理系统维护竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be347394d61e0173ebb3c9322eaf,2020-08-17
15,[陕西省本级],西安财经大学培训楼运营管理（含物业、保洁）服务外包项目竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173fa9c757d61bc,2020-08-17
16,[陕西省本级],西北政法大学研究生综合大楼消防改造项目竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be337394d6bc0173fb4d2df66929,2020-08-17
17,[陕西省本级],陕西省市场监督管理局 机关餐饮管理外包服务项目竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be347394d61e0173fb6a0567745e,2020-08-17
18,[陕西省本级],陕西警官职业学院刑事影像实验室建设项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173faf1bd5c632a,2020-08-17
19,[陕西省本级],陕西警官职业学院现场勘察实验室建设项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173fae4700762fe,2020-08-17
20,[陕西省本级],陕西科技大学分子束外延系统（MBE）采购项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be337394d6bc0173fa9193ad5fe9,2020-08-17
21,[陕西省本级],西安科技大学智慧安全中心改造项目竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be337394d6bc0173fa1e1967513c,2020-08-17
22,[陕西省本级],陕西省荣誉军人康复医院医疗设备购置项目（三次）公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be327394d7390173eaf68500480c,2020-08-16
23,[陕西省本级],陕西省智慧农业专利导航分析及农业知识产权与智慧农业发展实践研究竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be327394d7390173dd1b291959e2,2020-08-16
24,[陕西省本级],陕西省地理标志产品溯源管理系统开发项目竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be327394d7390173dd0147af58b6,2020-08-16
25,[陕西省本级],陕西省地理标志专用标志核准管理系统开发项目竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be327394d7390173dcfc1be0581b,2020-08-16
26,[陕西省本级],西北政法大学培训实践用车及其他服务项目竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173ec110aeb3b4b,2020-08-14
27,[陕西省本级],陕西科技大学教学科研仪器采购（二次）公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173ec3806df3f76,2020-08-14
28,[陕西省本级],陕西省体育馆配套家具采购项目竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173ec0ac18e3a4f,2020-08-14
29,[陕西省本级],陕西中医药大学第二附属医院制剂设备采购项目（二次）公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be347394d61e0173eb9216b02c6e,2020-08-14
30,[陕西省本级],西北大学5G+互联网安全专线升级项目竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be347394d61e0173ebe05a1533d5,2020-08-14
31,[陕西省本级],宝鸡文理学院2020年纸质图书采购公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173d855311923d9,2020-08-14
32,[陕西省本级],陕西省水土保持“十四五”规划编制竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be347394d61e0173eba41ec52d6b,2020-08-14
33,[陕西省本级],中共陕西省委党校（陕西行政学院）小寨校区和友谊校区餐厅服务管理外包采购项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be347394d61e0173e60e13e86fd5,2020-08-13
34,[陕西省本级],陕西省动物卫生与屠宰管理站2020年重大动物疫病防治及人员防护物资采购项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be337394d6bc0173e73cb4100c55,2020-08-13
35,[陕西省本级],陕西省治超联网管理信息系统工程项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173e5e56d7403cc,2020-08-13
36,[陕西省本级],陕西省自强中等专业学校网络安全设备采购项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173e69ef1160979,2020-08-13
37,[陕西省本级],陕西省自强中等专业学校灾备及机房建设项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173e6a2ad4b09c0,2020-08-13
38,[陕西省本级],陕西科技大学等离子喷涂系统采购项目（第二次）公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be337394d6bc0173e5edaae877db,2020-08-13
39,[陕西省本级],陕西省食品药品监督检验研究院中药标本馆室内装修工程竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be327394d7390173e5ae05a21a37,2020-08-13
40,[陕西省本级],陕西科技大学巡逻车、教学科研设备等采购项目（第二标段）（二次）公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be327394d7390173e1eacbf30567,2020-08-13
41,[陕西省本级],2019制造强省考核评估项目竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be337394d6bc0173e577fd6b6de1,2020-08-13
42,[陕西省本级],西安工业大学未央校区双创楼、报告厅、实训中心设备采购项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173e02c74364e10,2020-08-13
43,[陕西省本级],陕西省法官法警教育培训中心采暖锅炉改造项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be347394d61e0173cc1ab675306c,2020-08-13
44,[陕西省本级],西安工程大学电信学院学科建设立体机器视觉与移动智能机器人平台采购项目（二次）公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173e03cabf74f2b,2020-08-12
45,[陕西省本级],陕西省家政服务业信用信息系统及成果宣传采购项目(二次)竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be327394d7390173e1e06283045f,2020-08-12
46,[陕西省本级],西安医学院实验楼群部分给水、暖气、排水管道改造工程竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173e170db8a5f51,2020-08-12
47,[陕西省本级],陕西省公安厅保密文件柜和密码保险柜采购项目竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be327394d7390173e08d89d969af,2020-08-12
48,[陕西省本级],西安工程大学2020年电子信息学院高压放电图像采集与信息处理平台采购项目（二次）公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173e161d4cc5daf,2020-08-12
49,[陕西省本级],新舟60增雨飞机托管服务项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173e14427675c9c,2020-08-12
50,[陕西省本级],西安建筑科技大学多模态信号采集设备采购项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173dd32c8d84a55,2020-08-11
51,[陕西省本级],杨凌职业技术学院智慧教室 建设项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be337394d6bc0173dc604a2b1d41,2020-08-11
52,[陕西省本级],陕西省住房和城乡建设厅制定生活垃圾分类标准体系项目竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be337394d6bc0173dc932ab625ca,2020-08-11
53,[陕西省本级],陕西省预算资金评审中心（原省财政专项资金管理局）选取稽核专家竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be337394d6bc0173c83d25c23525,2020-08-11
54,[陕西省本级],陕西省人民医院中心花园环境改善提升（EPC）项目竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be347394d61e0173d79097f66663,2020-08-11
55,[陕西省本级],信息化工程监理服务竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173db5bd1182f5b,2020-08-11
56,[陕西省本级],十四运会和残特奥会“赛事业务系统和数据总集服务”项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be347394d61e0173dc6f20771375,2020-08-11
57,[陕西省本级],陕西省人民医院数字化医院建设项目维保公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be327394d7390173db6256f53bd1,2020-08-11
58,[陕西省本级],商洛学院2020年度教学实验室建设项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173d7ffb615232d,2020-08-11
59,[陕西省本级],陕西省人民医院床上用品采购项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be337394d6bc0173d7a3de2f7462,2020-08-11
60,[陕西省本级],陕西省人民医院全院工作服采购更换项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173daf94bdd25d8,2020-08-11
61,[陕西省本级],陕西中医药大学附属医院电脑及相关电子设备供应商遴选公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173d7e222962212,2020-08-11
62,[陕西省本级],信息化教学及资源管理平台建设项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be327394d7390173d75d7bf71f85,2020-08-10
63,[陕西省本级],2020年陕西省牲畜二维码耳标生产企业资格及价格项目采购公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be337394d6bc0173c76168d2202e,2020-08-10
64,[陕西省本级],陕西省第四人民医院2020年被服洗涤服务项目竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173d6f303640a7b,2020-08-10
65,[陕西省本级],《第九届中国西部跨国采购洽谈会暨中国（西安）进口商品交易会》展会服务采购项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be327394d7390173d7419e021c02,2020-08-10
66,[陕西省本级],西安邮电大学电子器件仿真及高性能计算平台建设项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be317394d7f10173d7480ef61028,2020-08-10
67,[陕西省本级],西安邮电大学智慧教学环境建设项目竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be347394d61e0173d6d3d6935135,2020-08-10
68,[陕西省本级],安康学院秦巴生物资源开发利用产教融合大楼完善实验室功能实施项目竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be337394d6bc0173d680ec945d0c,2020-08-10
69,[陕西省本级],陕西省地方金融监督管理局办公OA系统建设项目竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be337394d6bc0173c870dbc83849,2020-08-10
70,[陕西省本级],陕西铁路工程职业技术学院土木工程检测技术专业教学资源库2020年建设项目公开招标公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be337394d6bc0173c7eeaa262c9f,2020-08-07
71,[陕西省本级],《陕西交通报》2021年全年排版印刷服务采购项目竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be327394d7390173c2d0e37732e9,2020-08-07
72,[陕西省本级],陕西省高速公路收费中心基于ETC门架的交通情况调查应用系统建设项目竞争性磋商公告,http://ccgp-shaanxi.gov.cn:80/notice/noticeDetail.do?noticeguid=8a85be347394d61e0173c7e1fea91e38,2020-08-07
